data,id_prodotto,variant_id,sku,nome_del_prodotto,tipo_di_commissione,importo_della_commissione,collezione
"Jan 21, 1970 03:22 PM",1.59651E+13,5.80375E+13,,Sant Angelo beach party + jetski (collab) (First Rate),Tariffa fissa per articolo,"€3,00",
"Jan 21, 1970 03:22 PM",1.59651E+13,5.80375E+13,,Sant Angelo beach party + jetski (collab) (Second Rate),Tariffa fissa per articolo,"€4,00",
"Jan 21, 1970 03:22 PM",1.59651E+13,5.80375E+13,,The wolf of wall street Principotes (Early Bird),Tariffa fissa per articolo,"€4,00",
"Jan 21, 1970 03:22 PM",1.59651E+13,5.80375E+13,,The wolf of wall street Principotes (Standard Rate),Tariffa fissa per articolo,"€5,00",
"Jan 21, 1970 03:22 PM",1.59651E+13,5.80375E+13,,The wolf of wall street Principotes (VIP Rate),Tariffa fissa per articolo,"€7,00",
"Jan 21, 1970 03:22 PM",1.59651E+13,5.80375E+13,,Rio de ksamil foam party greg (First Rate),Tariffa fissa per articolo,"€4,00",
"Jan 21, 1970 03:22 PM",1.59651E+13,5.80375E+13,,Rio de ksamil foam party greg (Second Rate),Tariffa fissa per articolo,"€5,00",
"Jan 21, 1970 03:22 PM",1.59651E+13,5.80375E+13,,Mulino pool party sunset (collab) (First Rate),Tariffa fissa per articolo,"€3,00",
"Jan 21, 1970 03:22 PM",1.59651E+13,5.80375E+13,,Mulino pool party sunset (collab) (Second Rate),Tariffa fissa per articolo,"€4,00",
"Jan 21, 1970 03:22 PM",1.59651E+13,5.80375E+13,,White party greg (Early Bird),Tariffa fissa per articolo,"€4,00",
"Jan 21, 1970 03:22 PM",1.59651E+13,5.80375E+13,,White party greg (Standard Rate),Tariffa fissa per articolo,"€5,00",
"Jan 21, 1970 03:22 PM",1.59651E+13,5.80375E+13,,White party greg (VIP Rate),Tariffa fissa per articolo,"€7,00",
"Jan 21, 1970 03:22 PM",1.59651E+13,5.80375E+13,,Balkan night greg (Early Bird),Tariffa fissa per articolo,"€3,00",
"Jan 21, 1970 03:22 PM",1.59651E+13,5.80375E+13,,Balkan night greg (Standard Rate),Tariffa fissa per articolo,"€4,00",
"Jan 21, 1970 03:22 PM",1.59651E+13,5.80375E+13,,Balkan night greg (VIP Rate),Tariffa fissa per articolo,"€5,00",
"Jan 21, 1970 03:22 PM",1.59651E+13,5.80375E+13,,La French bluebarry moon (First Rate),Tariffa fissa per articolo,"€5,00",
"Jan 21, 1970 03:22 PM",1.59651E+13,5.80375E+13,,La French bluebarry moon (Second Rate),Tariffa fissa per articolo,"€7,00",
